id,url,status,source,text_length,elapsed_seconds,error
14474,http://mashable.com/2013/10/13/selling-on-craigslist-comic/,success,direct,712,1.565,
22816,http://mashable.com/2014/04/02/exxon-burn-oil-gas-reserves-climate/,success,direct,6941,1.457,
17979,http://mashable.com/2013/12/24/apple-patents-desk-free-computer/,success,direct,2208,1.159,
33617,http://mashable.com/2014/09/29/amanda-bynes-dui-arrest/,success,direct,1660,1.379,
14948,http://mashable.com/2013/10/22/instagram-coming-windows-phone/,success,direct,1315,1.439,
3979,http://mashable.com/2013/03/18/google-glass-backlash/,success,direct,5607,1.411,
31427,http://mashable.com/2014/08/25/game-of-thrones-tldw/,success,direct,589,1.718,
1796,http://mashable.com/2013/02/06/mothers-dying-wish-son-graduate/,success,direct,737,1.64,
6319,http://mashable.com/2013/05/03/google-glass-user-experience/,success,direct,924,1.538,
23263,http://mashable.com/2014/04/09/princess-lacey-holsworth-eulogy-msu/,success,direct,3875,1.511,
38630,http://mashable.com/2014/12/10/job-seekers-lacking-qualifications/,success,direct,5415,1.406,
24447,http://mashable.com/2014/04/30/nerdy-wedding-cakes/,success,direct,595,1.385,
31785,http://mashable.com/2014/08/29/uk-raises-terror-threat/,success,direct,4754,1.551,
25134,http://mashable.com/2014/05/13/louie-season-4-episode-3-4/,success,direct,4129,1.472,
550,http://mashable.com/2013/01/16/mcommerce-31-billion-2017-forrester/,success,direct,2191,1.425,
1736,http://mashable.com/2013/02/05/ribbon/,success,direct,3316,1.422,
